CampaignID,StartDate,EndDate,Channel,Impressions,Clicks,Leads,Conversions,Cost_USD,Revenue_USD,ROI,Campaign_Duration,CPC,CPL,Conversion_Rate
CAMP00080,2025-07-09,2025-07-19,Influencer,100039,2342,512,147,1094.52,2886.06,1.64,10,0.4673441502988898,2.137734375,6.27668659265585
CAMP00081,2025-10-23,2025-11-04,Search,12461,548,98,25,1353.37,2868.87,1.12,12,2.4696532846715327,13.809897959183672,4.562043795620438
CAMP00082,2025-08-01,2025-08-10,Social,163070,10959,5261,2225,1270.87,2309.79,0.82,9,0.115965872798613,0.24156434137996577,20.302947349210694
CAMP00083,2025-07-27,2025-08-07,Email,148893,8270,2659,1460,4152.04,8024.53,0.93,11,0.5020604594921403,1.5615043249341858,17.654171704957676
CAMP00084,2025-08-25,2025-09-08,Email,24870,2100,499,121,1329.0,2936.38,1.21,14,0.6328571428571429,2.6633266533066133,5.761904761904762
CAMP00085,2025-12-04,2025-12-14,Influencer,18410,1246,146,42,2776.94,7439.86,1.68,10,2.2286837881219905,19.02013698630137,3.3707865168539324
CAMP00086,2025-02-22,2025-03-02,Social,92721,3126,519,258,3178.41,3443.69,0.08,8,1.0167658349328215,6.124104046242774,8.253358925143955
CAMP00087,2025-10-07,2025-10-18,Social,24133,1452,492,189,3748.95,10696.46,1.85,11,2.5819214876033056,7.619817073170731,13.016528925619836
CAMP00088,2025-08-05,2025-08-19,Influencer,290503,4583,1398,617,242.14,282.76,0.17,14,0.05283438795548767,0.17320457796852645,13.46279729434868
CAMP00089,2025-09-09,2025-09-22,Influencer,197457,12295,4955,2163,2431.16,4107.2,0.69,13,0.19773566490443267,0.4906478304742684,17.592517283448554
CAMP00090,2025-07-07,2025-07-21,Display,32400,1460,633,231,1533.78,2565.03,0.67,14,1.0505342465753424,2.4230331753554504,15.821917808219176
CAMP00091,2025-02-10,2025-02-24,Display,39173,738,191,92,4186.47,8638.77,1.06,14,5.6727235772357725,21.91869109947644,12.466124661246612
CAMP00092,2025-06-06,2025-06-17,Influencer,16179,609,85,45,280.07,478.73,0.71,11,0.45988505747126435,3.294941176470588,7.389162561576355
CAMP00093,2025-01-15,2025-01-24,Search,197958,17980,7490,4217,1114.27,1602.92,0.44,9,0.06197274749721913,0.14876769025367156,23.453837597330367
CAMP00094,2025-10-28,2025-11-08,Display,40495,2540,816,178,1647.22,2449.17,0.49,11,0.6485118110236221,2.0186519607843136,7.007874015748032
CAMP00095,2025-03-06,2025-03-13,Influencer,273631,24980,12288,5178,481.42,1430.1,1.97,7,0.019272217774219377,0.03917805989583333,20.728582866293035
CAMP00096,2025-12-11,2025-12-17,Social,19760,928,388,83,2037.55,5446.95,1.67,6,2.195635775862069,5.251417525773196,8.943965517241379
CAMP00097,2025-11-23,2025-12-08,Display,96975,9513,2203,1234,3744.47,9776.61,1.61,15,0.3936161042783559,1.6997140263277348,12.97172290549774
CAMP00098,2025-01-09,2025-01-18,Search,97465,4132,1121,416,1140.34,2096.56,0.84,9,0.27597773475314613,1.0172524531668152,10.067763794772508
CAMP00099,2025-12-10,2025-12-18,Email,207899,16239,3154,1766,3796.9,10906.09,1.87,8,0.23381365847650717,1.2038363982244769,10.875053882628242
CAMP00100,2025-05-09,2025-05-18,Social,296547,11116,3388,931,2692.17,3029.86,0.13,9,0.24218873695573948,0.7946192443919717,8.375314861460957
CAMP00101,2025-05-16,2025-05-28,Search,204109,3988,1532,405,1789.15,2237.56,0.25,12,0.44863340020060183,1.1678524804177546,10.155466399197593
CAMP00102,2025-03-04,2025-03-12,Search,120625,10250,3536,1991,1907.15,2848.22,0.49,8,0.18606341463414636,0.5393523755656109,19.42439024390244
CAMP00103,2025-05-19,2025-06-01,Search,6755,531,125,71,669.9,1529.64,1.28,13,1.2615819209039547,5.3591999999999995,13.370998116760829
CAMP00104,2025-03-22,2025-04-02,Social,133500,11194,4805,2434,1323.93,1765.74,0.33,11,0.11827139539038771,0.275531737773153,21.743791316776846
CAMP00105,2025-06-12,2025-06-26,Search,172230,6367,904,261,3683.0,6157.97,0.67,14,0.5784513899795822,4.074115044247788,4.099261818752945
CAMP00106,2025-10-16,2025-10-27,Email,76352,5598,879,236,4327.45,5861.25,0.35,11,0.7730350125044658,4.923151308304892,4.215791354055019
CAMP00107,2025-09-18,2025-09-30,Display,203498,6062,1586,791,1401.43,3642.78,1.6,12,0.23118277796106895,0.883625472887768,13.048498845265588
CAMP00108,2025-08-19,2025-08-29,Social,117133,1290,491,222,2984.48,8411.37,1.82,10,2.3135503875968992,6.078370672097759,17.209302325581397
CAMP00109,2025-02-10,2025-02-22,Search,12688,1116,421,231,270.16,729.65,1.7,12,0.24207885304659502,0.6417102137767221,20.698924731182796
CAMP00110,2025-01-28,2025-02-04,Influencer,240876,13758,3392,1053,479.29,505.48,0.05,7,0.0348371856374473,0.14130011792452832,7.65372873964239
CAMP00111,2025-05-15,2025-05-29,Display,175556,17297,6549,2083,4825.4,7886.67,0.63,14,0.27897323235243104,0.7368147808825775,12.042550731340695
CAMP00112,2025-07-20,2025-08-03,Social,195927,8748,1086,535,4492.88,10222.04,1.28,14,0.5135893918609968,4.137090239410681,6.115683584819387
CAMP00113,2025-11-24,2025-11-29,Influencer,154651,14864,3210,985,498.28,498.97,0.0,5,0.033522604951560814,0.15522741433021806,6.6267491926803
CAMP00114,2025-09-25,2025-10-05,Influencer,149086,9743,3678,1415,4129.41,10293.46,1.49,10,0.42383352150261727,1.122732463295269,14.523247459714666
CAMP00115,2025-02-02,2025-02-07,Search,53443,2998,520,212,602.27,1648.75,1.74,5,0.20089059372915277,1.1582115384615383,7.071380920613743
CAMP00116,2025-02-17,2025-03-02,Social,178033,6632,1227,573,4159.67,4805.09,0.16,13,0.6272120024125453,3.390114099429503,8.639927623642944
CAMP00117,2025-03-03,2025-03-09,Search,194986,16432,2214,747,4576.15,8522.82,0.86,6,0.278490141187926,2.0669150858175245,4.546007789678676
CAMP00118,2025-08-04,2025-08-19,Email,41397,3501,860,467,850.12,1364.99,0.61,15,0.2428220508426164,0.9885116279069768,13.339045986860897
CAMP00119,2025-10-20,2025-10-26,Influencer,248818,11824,5083,1834,821.44,2377.15,1.89,6,0.06947225981055481,0.16160535117056857,15.51082543978349
CAMP00120,2025-04-09,2025-04-20,Email,183250,13827,6008,1301,4640.2,7653.87,0.65,11,0.3355897880957547,0.7723368841544607,9.409127070224923
CAMP00121,2025-06-21,2025-06-27,Search,6063,304,135,30,1577.02,3409.32,1.16,6,5.187565789473684,11.68162962962963,9.868421052631579
CAMP00122,2025-12-26,2026-01-09,Display,80848,6190,709,417,2416.01,2459.79,0.02,14,0.39030856219709215,3.407630465444288,6.736672051696284
CAMP00123,2025-08-02,2025-08-14,Influencer,172115,17121,8515,3821,1591.75,4255.07,1.67,12,0.0929706208749489,0.18693482090428656,22.317621634250337
CAMP00124,2025-02-04,2025-02-14,Display,115687,3889,1170,463,3771.75,3992.67,0.06,10,0.9698508614039599,3.223717948717949,11.905374132167653
CAMP00125,2025-08-15,2025-08-26,Social,131230,8800,3951,2164,1134.32,2425.7,1.14,11,0.1289,0.2870969374841812,24.59090909090909
CAMP00126,2025-04-11,2025-04-22,Influencer,266234,11764,5435,2645,2521.19,6256.15,1.48,11,0.21431400884053042,0.46388040478380865,22.483849030941858
CAMP00127,2025-05-11,2025-05-21,Email,213347,12662,3872,1055,4267.27,7652.27,0.79,10,0.3370138998578424,1.1020841942148762,8.332017058916442
CAMP00128,2025-09-14,2025-09-28,Display,140141,12426,1496,303,4718.98,5017.85,0.06,14,0.3797666183808144,3.154398395721925,2.4384355383872522
CAMP00129,2025-01-05,2025-01-20,Social,266252,10991,3725,2208,1828.4,5122.16,1.8,15,0.1663542898735329,0.49084563758389266,20.0891638613411
CAMP00130,2025-08-06,2025-08-19,Influencer,151676,2504,585,264,658.45,1140.53,0.73,13,0.2629592651757189,1.1255555555555556,10.543130990415335
CAMP00131,2025-09-12,2025-09-25,Social,19612,1606,293,114,4067.46,7859.64,0.93,13,2.53266500622665,13.882116040955632,7.0983810709838115
CAMP00132,2025-12-25,2026-01-05,Email,44170,2648,458,264,642.68,1687.78,1.63,11,0.24270392749244712,1.4032314410480349,9.969788519637463
CAMP00133,2025-10-10,2025-10-23,Influencer,181173,9139,2958,1028,3918.51,9096.18,1.32,13,0.42876791771528616,1.324716024340771,11.248495459021775
CAMP00134,2025-07-26,2025-08-09,Social,70881,1878,266,130,3476.04,5738.04,0.65,14,1.850926517571885,13.06781954887218,6.922257720979766
CAMP00135,2025-01-15,2025-01-22,Search,173782,3190,1367,639,2930.04,6098.24,1.08,7,0.9185078369905956,2.143408924652524,20.031347962382444
CAMP00136,2025-12-12,2025-12-19,Influencer,145435,5102,974,458,4703.5,5587.42,0.19,7,0.9218933751470012,4.829055441478439,8.97687181497452
CAMP00137,2025-02-11,2025-02-16,Influencer,78960,5898,1885,887,1679.73,3296.2,0.96,5,0.2847965412004069,0.8911034482758621,15.03899626992201
CAMP00138,2025-06-28,2025-07-07,Influencer,16990,799,119,24,557.31,1034.68,0.86,9,0.6975093867334167,4.683277310924369,3.0037546933667083
CAMP00139,2025-03-04,2025-03-12,Influencer,99258,6086,2701,1430,4909.86,12372.32,1.52,8,0.8067466316135392,1.8177934098482043,23.496549457771938
CAMP00140,2025-12-18,2025-12-24,Search,132640,2305,868,494,2261.62,5880.2,1.6,6,0.9811800433839479,2.605552995391705,21.431670281995665
CAMP00141,2025-08-19,2025-09-01,Email,37137,783,142,53,2223.62,6102.74,1.74,13,2.8398722860791823,15.659295774647887,6.7688378033205625
CAMP00142,2025-08-29,2025-09-05,Search,20573,226,87,36,538.7,1462.29,1.71,7,2.383628318584071,6.191954022988506,15.929203539823009
CAMP00143,2025-02-21,2025-03-05,Search,14554,1027,136,44,3743.41,11217.85,2.0,12,3.6449951314508273,27.525073529411763,4.284323271665044
CAMP00144,2025-04-06,2025-04-16,Social,234726,7933,3243,1666,3628.58,8762.7,1.41,10,0.45740325223748896,1.1188960838729571,21.000882390016386
CAMP00145,2025-08-10,2025-08-19,Display,238380,23128,6849,3387,811.95,1819.95,1.24,9,0.035106796956070566,0.11855015330705213,14.64458664821861
CAMP00146,2025-08-19,2025-08-24,Display,222670,8408,1245,616,1245.65,1612.31,0.29,5,0.14815057088487157,1.0005220883534138,7.326355851569934
CAMP00147,2025-08-25,2025-09-02,Social,189869,8112,2597,1282,180.43,349.37,0.94,8,0.02224235700197239,0.06947631882941856,15.803747534516766
CAMP00148,2025-05-23,2025-05-30,Search,18015,941,169,48,4459.67,8299.04,0.86,7,4.739287991498406,26.388579881656806,5.100956429330499
CAMP00149,2025-06-20,2025-06-25,Social,64617,2502,923,226,1298.19,3205.49,1.47,5,0.5188609112709832,1.406489707475623,9.03277378097522
CAMP00150,2025-01-29,2025-02-07,Influencer,185664,15515,5949,1929,4642.5,7192.89,0.55,9,0.29922655494682565,0.7803832576903681,12.433129229777634
CAMP00151,2025-02-05,2025-02-15,Social,115041,10222,4133,1777,2898.73,7947.43,1.74,10,0.28357757777342985,0.7013622066295669,17.38407356681667
CAMP00152,2025-01-13,2025-01-19,Social,80195,881,403,145,2184.5,3144.87,0.44,6,2.4795686719636776,5.420595533498759,16.458569807037456
CAMP00153,2025-06-09,2025-06-16,Influencer,164989,11370,4115,1233,138.37,272.19,0.97,7,0.012169744942832015,0.033625759416767924,10.844327176781004
CAMP00154,2025-11-23,2025-12-08,Display,255438,18327,5437,1135,552.13,1594.94,1.89,15,0.030126589185354942,0.10155048740114034,6.193048507666285
CAMP00155,2025-07-06,2025-07-16,Influencer,219722,21209,9367,2327,877.55,1481.27,0.69,10,0.041376302513084065,0.09368527810398206,10.971757272855863
CAMP00156,2025-08-31,2025-09-08,Email,142715,6184,2844,688,617.91,1517.53,1.46,8,0.09992076326002587,0.21726793248945148,11.1254851228978
CAMP00157,2025-03-27,2025-04-09,Social,18269,503,207,120,1355.4,2265.2,0.67,13,2.6946322067594437,6.547826086956523,23.856858846918488
CAMP00158,2025-10-11,2025-10-20,Social,285502,16231,7741,3959,857.47,1739.63,1.03,9,0.05282915408785657,0.11076992636610257,24.391596328014295
CAMP00159,2025-03-07,2025-03-15,Display,103029,5180,2547,634,3352.79,8553.88,1.55,8,0.6472567567567568,1.316368276403612,12.23938223938224
CAMP00160,2025-06-19,2025-06-25,Search,88857,7220,1447,559,1555.45,4089.52,1.63,6,0.21543628808864265,1.0749481686247409,7.742382271468144
CAMP00161,2025-02-14,2025-02-24,Influencer,197830,18073,3135,1447,3619.63,9718.64,1.68,10,0.2002783157195817,1.1545869218500797,8.00641841420904
CAMP00162,2025-03-03,2025-03-17,Search,61235,1090,304,177,763.91,916.0,0.2,14,0.7008348623853211,2.512861842105263,16.238532110091743
CAMP00163,2025-05-14,2025-05-20,Email,289316,24936,12437,3825,1124.63,3047.48,1.71,6,0.0451006576836702,0.09042614778483558,15.339268527430223
CAMP00164,2025-10-11,2025-10-22,Influencer,78834,7237,979,299,3958.5,5117.37,0.29,11,0.5469807931463313,4.04341164453524,4.131546220809728
CAMP00165,2025-01-28,2025-02-04,Email,49857,4645,1787,763,3206.98,4956.79,0.55,7,0.6904155005382131,1.794616675993285,16.42626480086114
CAMP00166,2025-04-18,2025-05-01,Email,146483,11541,5081,2758,572.59,1684.66,1.94,13,0.0496135516852959,0.11269238338909664,23.897409236634605
CAMP00167,2025-02-13,2025-02-28,Email,274969,21114,10526,3282,4801.14,6185.97,0.29,15,0.2273913043478261,0.4561219836595098,15.544188689968742
CAMP00168,2025-12-06,2025-12-15,Influencer,101774,1154,401,100,3836.42,5762.94,0.5,9,3.3244540727902945,9.56713216957606,8.665511265164644
CAMP00169,2025-10-13,2025-10-25,Influencer,174814,16225,4089,1253,2807.96,4693.68,0.67,12,0.1730637904468413,0.6867106872095867,7.722650231124807
CAMP00170,2025-11-27,2025-12-12,Display,294295,12253,2041,774,1780.26,4650.74,1.61,15,0.14529176528197177,0.8722488975992161,6.316820370521505
CAMP00171,2025-05-08,2025-05-18,Social,48327,662,326,112,560.31,919.89,0.64,10,0.8463897280966767,1.7187423312883434,16.91842900302115
CAMP00172,2025-12-14,2025-12-28,Search,145324,6854,3219,1752,1855.19,4919.88,1.65,14,0.27067259994163995,0.5763249456352905,25.5617157864021
CAMP00173,2025-08-19,2025-08-31,Search,205344,15597,6578,3796,1682.81,2374.76,0.41,12,0.1078931845867795,0.2558239586500456,24.33801372058729
CAMP00174,2025-07-09,2025-07-24,Email,266003,13240,6322,2221,484.02,1065.83,1.2,15,0.03655740181268882,0.07656121480544131,16.774924471299094
CAMP00175,2025-08-13,2025-08-20,Influencer,20322,1589,197,104,3940.42,11503.88,1.92,7,2.4798112020138454,20.00213197969543,6.5449968533668965
CAMP00176,2025-10-10,2025-10-17,Influencer,226785,12665,4465,1015,2135.14,2310.31,0.08,7,0.16858586656138966,0.4781948488241881,8.014212396367943
CAMP00177,2025-05-01,2025-05-10,Email,60504,2235,469,197,4458.63,12560.49,1.82,9,1.9949127516778524,9.506673773987208,8.814317673378076
CAMP00178,2025-04-26,2025-05-11,Social,62631,1770,719,382,874.02,1162.17,0.33,15,0.4937966101694915,1.215605006954103,21.581920903954803
CAMP00179,2025-08-21,2025-09-04,Search,192370,9214,1274,468,1656.1,3580.38,1.16,14,0.17973735619709139,1.2999215070643642,5.079227262860863
CAMP00180,2025-09-16,2025-09-23,Display,233121,3082,627,161,1467.28,1610.5,0.1,7,0.47608046722907205,2.340159489633174,5.223880597014925
